0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
47.0,45.93333333333333,42.0,42.53333333333333,43.0,41.333333333333336,42.93333333333333,44.9,44.63333333333333,43.36666666666667,46.0,41.233333333333334,36.5,34.43333333333333,40.166666666666664,41.333333333333336,41.93333333333333,45.53333333333333,44.63333333333333,45.53333333333333,41.63333333333333,42.93333333333333,42.766666666666666,46.8,44.1,43.1,42.0,43.333333333333336,43.166666666666664,36.96666666666667,34.36666666666667,40.1,39.8,40.666666666666664,44.666666666666664,46.63333333333333,43.333333333333336,45.833333333333336,41.13333333333333,43.03333333333333
47.06666666666666,46.333333333333336,46.03333333333333,45.03333333333333,44.96666666666667,44.766666666666666,44.63333333333333,43.53333333333333,43.06666666666666,44.0,44.833333333333336,39.733333333333334,36.766666666666666,37.06666666666666,40.6,41.7,45.53333333333333,44.4,44.2,41.833333333333336,43.733333333333334,42.4,42.1,40.666666666666664,45.86666666666667,44.1,43.833333333333336,41.8,38.833333333333336,35.43333333333333,36.36666666666667,41.666666666666664,42.333333333333336,44.0,45.4,41.166666666666664,41.43333333333333,38.86666666666667,38.6,40.8
45.233333333333334,44.8,42.4,42.333333333333336,41.4,44.86666666666667,47.43333333333333,46.43333333333333,45.53333333333333,41.3,39.96666666666667,38.0,39.266666666666666,39.36666666666667,40.2,42.13333333333333,46.6,40.733333333333334,42.9,42.5,41.43333333333333,42.266666666666666,43.1,44.833333333333336,45.96666666666667,41.7,42.5,43.36666666666667,41.93333333333333,36.86666666666667,38.666666666666664,39.43333333333333,47.13333333333333,44.6,44.43333333333333,44.03333333333333,44.13333333333333,40.96666666666667,41.36666666666667,43.3
44.166666666666664,44.9,42.56666666666666,44.03333333333333,45.3,48.7,49.1,46.2,39.8,40.9,42.0,42.4,41.733333333333334,40.53333333333333,41.166666666666664,41.666666666666664,44.333333333333336,44.2,44.8,44.93333333333333,45.56666666666666,43.93333333333333,44.333333333333336,45.6,46.9,42.1,41.63333333333333,42.4,38.666666666666664,37.333333333333336,42.06666666666666,44.7,44.333333333333336,42.833333333333336,41.93333333333333,45.2,45.2,44.666666666666664,45.166666666666664,43.666666666666664
46.233333333333334,46.1,45.46666666666667,46.6,47.733333333333334,47.06666666666666,45.666666666666664,44.833333333333336,46.0,43.13333333333333,45.666666666666664,44.8,39.13333333333333,37.0,37.766666666666666,39.266666666666666,41.833333333333336,42.766666666666666,43.36666666666667,43.266666666666666,44.8,46.0,43.733333333333334,41.666666666666664,42.96666666666667,45.56666666666666,42.9,38.3,36.3,39.3,40.9,39.7,41.833333333333336,41.266666666666666,39.86666666666667,42.96666666666667,45.3,46.266666666666666,44.43333333333333,44.06666666666666
47.43333333333333,45.766666666666666,45.333333333333336,46.86666666666667,47.0,43.333333333333336,41.86666666666667,41.766666666666666,46.36666666666667,44.46666666666667,43.766666666666666,43.5,43.43333333333333,41.333333333333336,38.46666666666667,39.333333333333336,40.93333333333333,43.833333333333336,41.733333333333334,41.0,43.833333333333336,44.5,44.03333333333333,43.266666666666666,40.1,42.3,40.96666666666667,38.86666666666667,38.0,41.0,44.333333333333336,46.36666666666667,43.13333333333333,45.266666666666666,43.7,41.166666666666664,45.2,43.5,45.233333333333334,40.93333333333333
45.166666666666664,45.766666666666666,43.0,43.666666666666664,43.333333333333336,44.43333333333333,44.63333333333333,45.13333333333333,45.166666666666664,43.0,39.333333333333336,37.43333333333333,40.6,41.13333333333333,39.46666666666667,37.53333333333333,39.733333333333334,39.3,42.6,43.4,41.2,39.333333333333336,41.2,42.333333333333336,41.4,41.53333333333333,39.4,32.06666666666666,35.2,39.8,42.266666666666666,42.93333333333333,44.233333333333334,43.56666666666666,43.166666666666664,45.1,43.93333333333333,43.733333333333334,43.833333333333336,44.233333333333334
41.96666666666667,41.43333333333333,38.3,41.5,42.36666666666667,43.6,45.666666666666664,45.0,46.6,46.4,42.96666666666667,41.266666666666666,44.266666666666666,41.13333333333333,40.46666666666667,36.733333333333334,35.5,37.9,39.6,39.266666666666666,40.333333333333336,41.53333333333333,42.43333333333333,41.03333333333333,38.833333333333336,38.86666666666667,37.03333333333333,38.766666666666666,40.63333333333333,38.8,41.4,43.3,43.93333333333333,40.36666666666667,42.333333333333336,42.96666666666667,42.03333333333333,39.96666666666667,42.43333333333333,41.53333333333333
43.666666666666664,46.53333333333333,45.06666666666666,43.1,45.1,43.2,44.333333333333336,43.56666666666666,40.6,38.6,38.56666666666666,37.3,40.6,40.733333333333334,42.53333333333333,40.666666666666664,37.9,35.93333333333333,37.0,33.766666666666666,36.9,39.2,37.9,37.3,34.86666666666667,34.766666666666666,34.36666666666667,36.9,41.13333333333333,42.8,44.56666666666666,39.833333333333336,40.2,36.666666666666664,39.833333333333336,43.0,40.6,43.53333333333333,41.5,43.0
40.233333333333334,44.86666666666667,44.3,45.5,44.766666666666666,44.46666666666667,43.93333333333333,41.96666666666667,42.7,40.8,42.0,41.833333333333336,43.8,46.8,42.233333333333334,39.56666666666666,38.43333333333333,34.333333333333336,33.166666666666664,33.833333333333336,36.766666666666666,37.6,38.4,37.166666666666664,38.666666666666664,37.9,40.733333333333334,41.766666666666666,43.333333333333336,42.63333333333333,43.96666666666667,43.36666666666667,41.1,41.06666666666666,39.666666666666664,41.7,43.5,43.5,46.03333333333333,45.666666666666664
47.166666666666664,46.5,44.86666666666667,45.833333333333336,44.333333333333336,42.8,44.2,42.56666666666666,42.43333333333333,44.8,44.2,43.1,42.4,42.86666666666667,42.56666666666666,41.93333333333333,41.93333333333333,40.63333333333333,37.733333333333334,40.733333333333334,39.0,40.0,37.2,38.666666666666664,39.4,41.333333333333336,40.833333333333336,43.2,43.36666666666667,43.43333333333333,42.6,43.56666666666666,44.03333333333333,43.333333333333336,39.9,43.9,44.333333333333336,43.0,44.53333333333333,45.36666666666667
44.06666666666666,47.266666666666666,47.3,46.666666666666664,47.2,45.46666666666667,44.93333333333333,44.4,41.46666666666667,41.266666666666666,43.233333333333334,44.96666666666667,43.2,41.7,39.96666666666667,37.6,40.3,39.96666666666667,39.166666666666664,39.6,38.86666666666667,40.3,37.766666666666666,37.1,40.3,42.233333333333334,41.6,42.93333333333333,45.9,41.53333333333333,40.166666666666664,40.666666666666664,40.43333333333333,42.46666666666667,43.833333333333336,47.06666666666666,45.0,43.06666666666666,43.03333333333333,42.2
